语言ID,说明                       ,CN
292401,远征2第一章boss描述,尤达米尔有着过人的召唤术天赋，他掌握的召唤术数量是常人的数十倍，但是尤达米尔还想变得更强大，那些浅薄的教科书内容已经无法满足他对更强大力量的渴望。在某一天他开始接触禁忌的黑暗魔法，自此黑魔法强大的力量就让尤达米尔深陷其中，之后他毅然离开学院并且加入了圣灵堂。



203101,远征3第一章boss名称,守护石像
293101,远征3第一章boss描述,
203102,远征3第一章boss名称,黯焰巨龙
293102,远征3第一章boss描述,
203103,远征3第一章boss名称,守护石像
293103,远征3第一章boss描述,
203104,远征3第一章boss名称,骷髅王的头颅
293104,远征3第一章boss描述,
203105,远征3第一章boss名称,镜面传送门
293105,远征3第一章boss描述,
203106,远征3第一章boss名称,黯冰女王
293106,远征3第一章boss描述,
203107,远征3第一章boss名称,无限传送门
293107,远征3第一章boss描述,
203108,远征3第一章boss名称,无头骷髅王
293108,远征3第一章boss描述,
203109,远征3第一章boss名称,终极骷髅王
293109,远征3第一章boss描述,骷髅王生前是一位贤明的君王，但是他害怕自己辛苦建立的国家会在死后荡然无存，于是开始寻找长生不老的方法，在听信了恶魔的诱惑后，他为了获得永生出卖了灵魂，化身为不老不死的骷髅王，之后他把国内的臣民和士兵通通杀死，这样他就能永远统治他的臣民，统治他的骷髅帝国！






,,
,,
50000,1章1关标题,猛兽山林
50001,1章1关描述,莱奥清楚的知道，被奥若拉的飞刀打中可不是闹着玩的，也许他需要一个更加敦实的英雄。
50002,1章2关标题,岛格村
50003,1章2关描述,没完没了的骷髅海战术，也许只能从源头消灭敌人才能拯救村庄了。
50004,1章3关标题,浅滩密林
50005,1章3关描述,面对眼前这个黄毛小子，巫妖毫不留情地开始凝聚黑暗之力，向其发起进攻！
50006,1章4关标题,公会领地
50007,1章4关描述,罗迪亚克双手持剑插向了地面，随后一道圣光从天而降！
50008,1章5关标题,蛛魔巢穴
50009,1章5关描述,在蛛魔斯派克的巢穴中，除了满地的蛛卵，斯派克还会喷吐蛛丝缠住闯入这里的不速之客，它的纵身跃击足以撼动整座森林！

50012,2章1关标题,王城街道
50013,2章1关描述,物理攻击对于这些身手敏捷的刺客们可能不太奏效了，是时候让他们见识魔法的威力了！
50014,2章2关标题,堕落公会
50015,2章2关描述,“我总听到有东西摇摇欲坠的声音。”“是上面！快躲开！”
50016,2章3关标题,选拔考场
50017,2章3关描述,守护骑士会随着时间流逝逐渐强大，必须尽快解决他！
50018,2章4关标题,最终试炼
50019,2章4关描述,“我一个人就能把你们全打飞！”“吹牛都不打草稿的吗啊啊啊啊啊啊！！！”勇士埃迪第一次觉得在天上飞，并不是什么好事。
50020,2章5关标题,学院公会
50021,2章5关描述,狭路相逢勇者胜！想要获胜就必须坚守战线！

50024,3章1关标题,魔法森林
50025,3章1关描述,虽然好奇心总是驱使着我们，想要知道传送门到底会出现什么，但是有时候，好奇心反而会害了你。
50026,3章2关标题,学徒集训场
50027,3章2关描述,皇家圣骑士的长矛穿刺不仅威力惊人，而且范围足以触及脆弱的后排英雄。
50028,3章3关标题,魔法实验室
50029,3章3关描述,洒落在地面上的神秘试剂，竟然使附近的自然族产生了骇人的变化！
50030,3章4关标题,学院本部
50031,3章4关描述,“深渊会吞噬掉亡者的灵魂，却会赋予亡者新生？”勇士埃迪看着深渊的警示牌，一时摸不着头脑。
50032,3章5关标题,荆棘禁地
50033,3章5关描述,只要树魔愿意，它可以选择用藤蔓绞杀你，或者把你变成它的傀儡。

50036,4章1关标题,雪地伐木场
50037,4章1关描述,成为嗜血者的生物除了具有极强的进攻欲望，就连攻击都变得疯狂。
50038,4章2关标题,雪山矿洞
50039,4章2关描述,嗜血者们正试图营救自己的同伴，必须阻止他们！
50040,4章3关标题,雪原村庄
50041,4章3关描述,和这些防御精良的人族小分队硬碰硬不是个好主意，或许魔法的力量会有奇效。
50042,4章4关标题,冰原荒地
50043,4章4关描述,可怕的瘟疫使得英雄们移动缓慢，进攻乏力。
50044,4章5关标题,远古墓穴
50045,4章5关描述,没有任何生物能够抵挡骸骨巨龙的咆哮，当它蓄力准备发射龙息激光的时候，你最好祈祷山洞不会因此坍塌。

50048,5章1关标题,高地哨岗
50049,5章1关描述,负责拦截的哨兵们设下了栅栏，并且放置了远程打击的投石车，试图阻止入侵者。
50050,5章2关标题,废墟
50051,5章2关描述,图腾似乎有一种神奇的力量可以消除来自石巨人的致命影响。
50052,5章3关标题,穹顶庇护所
50053,5章3关描述,小杰的哥哥在变成嗜血者之后，貌似拥有了可以汲取死者血液的力量。
50054,5章4关标题,水晶洞窟
50055,5章4关描述,“当心脚下的陷阱，如果你不想全身爆裂而死的话！”来自巫妖充满善意的提醒。
50056,5章5关标题,獠牙营地
50057,5章5关描述,即使兰尼看起来强大地不可战胜，但是任何人都会有弱点，抓准时机打断他的施法节奏。

50060,6章1关标题,边防据点
50061,6章1关描述,夺取传送水晶就可以获得源源不断的兵力支援。
50062,6章2关标题,突破重围
50063,6章2关描述,人族军队放置了远程炮台对自然族支援军进行压制，想要突出重围必须尽快摧毁炮台！
50064,6章3关标题,兵临城下
50065,6章3关描述,“我们夺取了人族的炮台，现在可以利用炮台来防守了！”凯德将军面对人族大军，振奋地说到。
50066,6章4关标题,自然族圣地
50067,6章4关描述,不幸遭到嗜血侵蚀的大长老，运用冰雪的力量极力阻止着莱奥等人。
50068,6章5关标题,放逐的背叛者
50069,6章5关描述,“在绝对的力量面前，你们这群蝼蚁所谓的技巧，对我来说毫无意义！”尤达米尔不动声色地说道。

50070,7章1关标题,圣灵堂袭来
50071,7章1关描述,栅栏虽然延缓了圣灵堂的进攻，但是后续前来的圣灵堂攻势并没有减弱，年迈的村长这时候挺身而出，希望能够保护村子！
50072,7章2关标题,哀伤沼泽
50073,7章2关描述,“沼泽里有两种颜色的石柱，蓝色的柱子会召唤敌人。”“话说埃迪呢？”“我刚想说这个，红色的柱子会爆炸，埃迪刚才被炸飞了！”
50074,7章3关标题,诅咒盆地
50075,7章3关描述,诅咒盆地的气候十分诡异，变化多端，不清楚这是自然现象还是有人刻意为之，不过值得注意的是：盆地里会出现一种诡异法阵。
50076,7章4关标题,暗影谷
50077,7章4关描述,“想知道被自己的召唤术打败是什么感觉吗？”尤达米尔的分身狂妄地嘲讽着莱奥等人。
50078,7章5关标题,萤月湖秘所
50079,7章5关描述,石像散落一地，莱奥等人以为能松一口气的时候，一名神秘的女人出现在了他们面前，原本碎落的石块重新复原成了守护石像。

